title,Krumhansl-Shmuckler,simple weights,Aarden Essen,Bellman Budge,Temperly Kostka Payne,as transcribed,final_note,freq note,freq weighted acc,certainty,root,expert assigned
Eleanor Kane's  (reel),4,7,4,7,7,7,7,7,11,0.67,7,7
"Daisy Fields (reel), The",2,2,2,2,2,2,9,2,2,0.89,2,2
"Grand Gates of Annesbrook (reel), The",4,7,4,7,7,7,9,7,4,0.56,7,9
"Gimlet ( Gimblet ), The",4,7,4,7,7,9,9,11,11,0.33,7,7
Top of Maol  (polka),9,9,9,9,9,4,4,11,11,0.56,9,4
Red Sky at Sunset,2,2,2,2,2,2,2,6,2,0.89,2,2
"New Policeman (reel), The",4,7,4,7,7,7,0,7,7,0.67,7,7
It's an Ill Wind,4,7,4,7,7,7,7,7,7,0.78,7,7
Basket of Eggs 2 (1666 jig),7,7,7,7,7,7,7,7,7,1,7,7
"Rover Reel, The",2,7,2,7,7,4,7,11,11,0.44,7,7
Over the Hill (reel),2,2,2,2,2,2,2,2,1,0.89,2,2
Annamaculeen Reel,4,4,4,2,4,4,9,11,11,0.56,4,4
"Toormore Jig, The",2,2,2,2,2,2,2,2,6,0.89,2,2
"Miller's Daughter 2 (reel), The",7,7,7,7,7,7,7,11,7,0.89,7,7
Jackie Fitzpatrick's (reel),7,7,7,7,7,7,7,7,4,0.89,7,9
"Dark Girl Dressed in Blue [1] (slide), The",2,2,2,2,2,2,11,6,2,0.78,2,2
Sean Frank (reel),4,4,4,4,4,4,4,7,7,0.78,4,4
Dinny Mescall's Slide,7,7,7,7,7,7,11,11,7,0.78,7,7
"Maid of the Glen (reel), The",2,2,2,2,2,2,4,9,9,0.67,2,2
Mickey Callaghan's Jig,2,2,2,2,2,2,2,9,2,0.89,2,2
O'Connell's Welcome to Parliament,4,2,4,2,7,7,7,9,7,0.44,7,7
"Controversial Reel, The",7,7,7,7,7,7,7,11,7,0.89,7,7
Molly Murphy's Reel,7,7,7,7,7,7,2,7,7,0.89,7,7
"Banard Jig, The",2,2,2,2,2,2,2,2,2,1,2,2
"Spring Field Jig , The",7,7,7,7,7,7,7,11,0,0.78,7,7
Mungo Kelly (reel),4,7,4,7,7,4,11,11,7,0.44,7,7
"Wren Hornpipe, The",9,9,9,7,7,7,9,0,4,0.44,9,9
"Humors of Kesh, The",7,7,7,7,7,7,7,2,7,0.89,7,7
"Highlander's Kneebuckle (reel), The",7,7,7,7,7,7,0,7,11,0.78,7,7
"Sparrow's Nest , The",2,2,2,2,2,2,2,6,2,0.89,2,2
Rowsome's Kerry Jig,4,0,4,7,4,7,0,9,9,0.33,4,9
Maurice Manley's (polka),4,7,4,2,7,9,9,9,7,0.33,9,9
If I Had a Wife,7,7,7,7,7,7,7,11,7,0.89,7,7
Paddy Taylor's (reel),2,7,2,2,2,7,4,4,9,0.44,2,2
Wallop the Spot,2,2,2,2,2,2,6,9,4,0.67,2,2
Tom Dowd's Favorite (reel),4,7,4,0,7,9,9,7,7,0.44,7,4
Knocknagow 1,9,9,9,7,7,9,9,9,9,0.78,9,9
"Sailor's Farewell (reel), The",7,7,7,7,7,7,7,2,7,0.89,7,7
"Humors of Ederney (reel), The",4,2,4,2,2,7,9,9,9,0.33,9,9
"Lady on the Lake (reel), The",4,4,4,4,4,4,4,4,6,0.89,4,4
"Pride of Kildare (reel), The",2,11,2,7,2,7,4,6,2,0.44,2,2
Baile an tSamhraidh,4,9,4,9,4,4,4,4,4,0.78,4,4
Brian o Laimhin (reel),4,4,4,4,7,7,11,11,2,0.44,4,7
Tim Mulloney's (reel),7,7,7,7,7,7,7,2,2,0.78,7,7
"Prayer Is Better Than a Tune,A",2,2,2,2,2,9,2,9,9,0.67,2,2
All the World Loves Me (reel),7,7,7,7,7,7,7,7,7,1,7,7
"Maulykevane Jig, The",9,9,9,9,9,9,9,4,4,0.78,9,9
Con Curtin's Big Balloon,4,4,4,2,4,7,4,4,11,0.67,4,4
Banish Misfortune,2,2,2,2,2,0,2,2,0,0.78,2,2
Tipperary Hills,2,2,2,2,2,2,2,9,11,0.78,2,2
Green-Gowned Lass (reel),7,7,7,7,7,7,4,7,9,0.78,7,7
Mrs. Galvin's Fancy (h'pipe),2,2,2,2,2,2,2,2,2,1,2,2
Castle of Gold (hornpipe),0,7,0,7,7,7,4,9,2,0.44,7,7
"Second-Hand Car  (reel), The",2,2,2,2,2,2,4,2,2,0.89,2,2
Pay the Reckoning,4,7,4,7,7,7,2,7,2,0.56,7,7
Miss Langford (reel),2,2,2,2,2,2,2,2,6,0.89,2,2
Moloney's Flute  (reel),7,7,7,0,7,7,7,11,7,0.78,7,7
Paddy Byrne's Quick Step,4,7,4,7,7,7,7,7,7,0.78,7,7
"Maid In the Cherry Tree (reel), The",9,0,9,7,7,9,9,9,0,0.56,9,9
Quinn's Jig,7,7,7,7,7,7,7,11,7,0.89,7,7
"Dublin Lasses (reel), The",4,4,4,2,2,4,4,4,11,0.67,4,4
Jack Wade the Piper  (reel),11,9,11,9,2,4,4,6,11,0.33,11,4
"Cordal Jig, The",11,2,11,2,2,2,2,2,11,0.67,2,2
Lighting the Lamps  (reel),2,2,2,2,2,2,2,11,11,0.78,2,2
Jer the Rigger (polka),9,9,9,9,9,9,9,4,9,0.89,9,9
Wren Hornpipe,9,9,9,7,7,7,9,0,4,0.44,9,9
"Glasslough Reel, The",4,4,4,4,7,7,9,11,2,0.44,4,9
"Hawthorn Jig, The",4,7,4,7,7,4,4,7,2,0.44,4,7
As I Went Out Upon the Ice (polka),4,2,4,2,2,9,9,9,4,0.33,9,9
"Elm Grove , The",7,7,7,7,7,7,7,11,2,0.78,7,7
Callaghan's Progress,2,2,2,2,2,2,11,9,9,0.67,2,2
James Gannon's Delight,2,2,2,2,2,2,2,6,6,0.78,2,2
Killoran's 2 (polka),7,7,7,7,2,7,7,2,6,0.67,7,7
"Drimcong Jig, The",4,2,4,2,2,9,7,7,2,0.44,2,9
"Sword in Hand (reel), The",4,7,4,7,7,7,2,11,7,0.56,7,7
"Rambler, The",9,9,9,9,9,9,9,6,6,0.78,9,9
Fair Wind (reel),9,9,9,9,9,9,4,1,1,0.67,9,9
"Stone Church Polka , The",2,7,2,2,2,2,7,4,4,0.56,2,2
"Wexford Reel, The",2,2,2,2,2,2,1,6,6,0.67,2,2
Bill Harte's Reel,4,2,4,2,7,9,9,11,11,0.22,9,7
Oliver's Own  (reel),4,7,4,7,7,7,7,6,7,0.67,7,7
Walsh's (reel),4,7,4,7,7,7,7,6,2,0.56,7,7
Mooney's Reel,7,7,7,7,7,7,2,7,11,0.78,7,7
Dispute at the Crossroad (reel),4,11,4,4,11,4,6,11,4,0.56,4,4
"Leitrim Fancy, The",4,7,4,7,7,4,2,11,7,0.44,7,4
Wise Nora,7,7,7,7,7,7,9,11,7,0.78,7,7
Tonra's Jig,2,11,2,2,2,2,2,6,9,0.67,2,2
O'Shaughnessy's Reel,4,7,4,7,7,7,7,9,9,0.56,7,7
Jerry Joe & George  (polka),2,7,2,2,2,7,2,4,6,0.56,2,2
How's the Wife   (hornpipe),4,7,4,7,7,7,7,11,7,0.67,7,7
Boring the Leather,2,7,2,7,2,7,7,2,9,0.44,2,7
"Tailor's Thimble (reel), The",7,2,7,7,7,2,11,7,11,0.56,7,9
Lord Banff's Reel,2,2,2,2,2,2,2,2,2,1,2,2
John Doherty's Reel (2),9,0,9,0,0,9,7,0,4,0.44,0,9
"Ship Doctor, The",4,4,4,4,4,4,4,4,7,0.89,4,4
Bonnie Kate (second version) (reel),2,2,2,2,2,2,2,2,1,0.89,2,2
"Wonders of Mayo , The",2,2,2,2,2,2,2,2,4,0.89,2,2
Roll Her in the Haystack (reel),2,7,2,2,2,2,2,2,2,0.89,2,2
Nelson's Pillar (reel),2,2,2,7,2,2,2,2,11,0.78,2,2
"Promenade Side-Step, The",2,9,2,2,2,9,2,4,7,0.56,2,9
Miss Thornton's (reel),7,7,7,7,7,7,7,7,7,1,7,7
Bill Harte's,9,2,9,2,2,7,2,9,9,0.44,9,2
Kelly's Merry Thatcher  (reel),2,2,2,2,2,4,4,9,2,0.67,2,4
Gone for His Tea (reel),2,2,2,2,2,4,6,6,4,0.56,2,2
Con O'Flynn's Jig,4,7,4,7,7,7,7,6,9,0.56,7,7
"Trip to Yorkshire, The",7,7,7,7,7,7,2,11,2,0.67,7,7
Round the World (reel),11,9,11,9,2,4,4,11,11,0.44,11,9
"Galtee Rangers (reel), The",2,11,2,2,2,2,4,6,6,0.56,2,2
Ashmolean House (reel),2,2,2,2,2,2,2,6,9,0.78,2,2
"Hielanman's Kneebuckle (reel), The",2,2,2,2,2,2,1,2,2,0.89,2,2
Christmas Night,2,2,2,2,2,2,9,6,9,0.67,2,2
"Master's Flax in Bloom (reel), The",2,2,2,2,2,2,2,2,6,0.89,2,2
Fair and Forty (hornpipe),7,7,7,7,7,7,7,2,4,0.78,7,7
"Cabin Hunter (reel), The",2,11,2,2,2,4,9,6,7,0.44,2,4
Farrell O'Gara (reel),2,2,2,2,2,2,2,6,9,0.78,2,2
Preston's Reel,4,7,4,7,7,7,11,7,7,0.67,7,7
"Congress (reel), The",9,9,9,2,9,9,9,4,4,0.67,9,9
"Flowers of Red Hill (reel), The 2",4,2,4,2,7,2,9,9,11,0.33,2,9
"Man from Dungannon  (reel), The",2,7,2,2,2,7,9,7,6,0.44,2,9
McGoldrick's Reel,2,2,2,2,2,2,4,2,1,0.78,2,2
Gorman's Reel 2,11,11,11,11,2,4,2,2,11,0.56,11,4
Bonnie Kate (first version) (reel),2,2,2,2,2,2,11,2,2,0.89,2,2
John O'Dwyer of the Glen (set dance),2,7,2,7,7,7,9,2,9,0.44,7,2
John Joe Gannon's (hornpipe),7,7,7,7,7,7,7,7,7,1,7,7
"Pretty Welsh Maid  (reel), The",7,7,7,7,7,7,0,7,11,0.78,7,7
"Blacksmith Reilly's Reel, The",2,2,2,2,2,2,2,6,2,0.89,2,2
Anderson's  Reel,2,2,2,2,2,2,2,6,9,0.78,2,2
"High Jig, The",6,9,6,9,9,9,8,2,1,0.44,9,9
"Lark in the Morning, The",2,2,2,2,2,2,11,6,6,0.67,2,2
"Unfortunate Rake, The",2,2,2,2,2,4,4,4,2,0.67,2,4
"Tune of the Rag (reel), The",7,7,7,7,7,7,7,2,7,0.89,7,7
Miss Cassidy (reel),7,7,7,7,7,7,7,7,7,1,7,7
Molly From Longford,9,9,9,9,9,9,9,4,11,0.78,9,9
McDermott's (hornpipe),2,2,2,2,2,2,4,9,6,0.67,2,2
Farewell to Leitrim  (reel),2,7,2,7,7,2,4,2,6,0.44,2,2
Tenpenny Bit,7,7,7,7,7,9,11,2,4,0.56,7,7
"Day I Met Tom Moylan (reel), The",4,4,4,4,4,2,2,11,4,0.67,4,4
"Collegians of Glasgow (reel), The",4,7,4,7,7,4,4,7,2,0.44,4,4
Padraig O'Keeffe's Slide (2),2,2,2,2,2,2,2,6,4,0.78,2,2
"Cornhill Reel, The",9,7,9,7,7,2,4,2,9,0.33,9,2
"Banks of Newfoundland, The",7,7,7,7,7,7,7,7,11,0.89,7,7
"Shepherd's Daughter  (reel), The",4,2,4,2,2,2,2,9,9,0.56,2,2
"Sunny Banks (reel), The",2,2,2,2,2,2,2,6,6,0.78,2,2
"Mountain Top (reel), The",7,7,7,7,7,7,0,2,11,0.67,7,7
Paddy O'Rafferty 2,7,7,7,7,7,7,7,9,7,0.89,7,7
"Lark on the Strand, The",7,7,7,7,7,7,11,11,7,0.78,7,7
Another Round of Punch!,7,7,7,7,7,7,7,7,7,1,7,7
Bees in the Cherry Tree,7,7,7,7,7,7,7,7,7,1,7,7
Little Red Rock (reel). The,2,2,2,2,2,2,2,6,6,0.78,2,2
"Boyne Water (hornpipe), The",9,9,9,2,4,9,9,9,4,0.67,9,9
Gillespie's Hornpipe,7,7,7,7,7,7,7,0,2,0.78,7,7
Fahy's Jig,7,7,7,7,7,7,7,11,7,0.89,7,7
Dan Sweeney's  2 (polka),9,9,9,9,9,9,9,4,9,0.89,9,9
"Spey in Spate (reel), The",2,2,2,2,2,2,2,9,2,0.89,2,2
"Blackhaired Lass (reel), The",2,2,2,2,2,2,9,4,1,0.67,2,9
Last Night's Fun 2 (reel),2,2,2,2,2,2,11,6,2,0.78,2,2
Anac Cuan,2,4,2,9,2,4,4,6,4,0.44,4,4
"Bag of Spuds (reel), The",4,2,4,7,7,9,11,4,9,0.33,4,9
Tom Keane's (reel),9,2,9,2,9,2,9,9,1,0.56,9,9
"Skylark (reel), The",2,2,2,2,2,2,2,6,6,0.78,2,2
Hare in the Corn (1),2,2,2,2,2,2,2,7,6,0.78,2,2
Jimmy Ward's Jig,7,7,7,7,7,7,4,7,7,0.89,7,7
"Pretty Girls of Mayo (reel), The",7,7,7,7,7,7,7,9,9,0.78,7,7
"Fat of the Land  (reel), The",2,2,2,2,2,2,2,9,2,0.89,2,2
"Game Cock, The",2,2,2,2,2,2,2,9,6,0.78,2,2
O'Connell's Reel,2,2,2,2,2,2,11,2,9,0.78,2,2
Tadeen the Donkey,7,7,7,7,7,7,2,11,4,0.67,7,7
Toss the Feathers (reel) 3,2,2,2,2,2,7,2,9,9,0.67,2,2
Lomanach Cross (reel),7,7,7,7,7,7,9,7,2,0.78,7,7
Dan the Pump (reel),7,7,7,7,7,7,7,11,11,0.78,7,7
"New Post Office (reel), The",2,2,2,2,2,2,2,2,6,0.89,2,2
Miss Butler's (reel),7,7,7,7,7,7,7,7,11,0.89,7,7
Theresa Ryan's  (hornpipe),4,7,4,7,7,7,7,7,11,0.67,7,7
"Atlantic Wave (reel), The",4,7,4,7,7,7,7,7,2,0.67,7,7
Rip the Calico  (reel),2,2,2,2,2,2,4,2,2,0.89,2,2
"Bridal Polka, The",2,7,2,7,2,2,7,2,9,0.56,2,2
Jackson's Walk to Limerick,2,2,2,2,2,2,11,9,9,0.67,2,2
"Satin Slipper Reel [2], The",2,2,2,2,2,2,2,9,9,0.78,2,2
"Luck Penny, The",7,7,7,7,7,7,7,7,7,1,7,7
Willie Coleman's,7,7,7,7,7,7,7,2,7,0.89,7,7
"Crosses of Annagh  2 (reel), The",4,7,4,2,7,9,9,7,4,0.33,4,9
"Woman of the House (reel), The",4,4,4,4,4,7,7,11,4,0.67,4,7
"Wandering Minstrel, The",2,2,2,2,2,2,2,9,6,0.78,2,2
"Pub at the Crossroads  (hornpipe), The",9,9,9,9,9,9,9,11,9,0.89,9,9
"Humors of Ballinacarrig (reel), The",4,4,4,9,4,4,2,4,4,0.78,4,4
"Captain from Cavan  (polka), The",2,2,2,2,2,2,4,2,6,0.78,2,2
Lord McDonald's (reel),7,7,7,7,7,7,7,7,2,0.89,7,7
Dillane's Hornpipe,2,2,2,2,2,2,2,2,2,1,2,2
"Ballina Lass  (reel), The",7,7,7,7,7,7,7,7,4,0.89,7,7
O'Shea's the Man!  (reel),7,7,7,7,7,7,7,11,11,0.78,7,7
McDonagh's Apples,2,2,2,7,7,7,2,2,6,0.56,2,2
"West Window , The",11,2,11,2,2,2,2,6,2,0.67,2,2
Glenn Owen (reel),2,7,2,7,2,7,7,2,9,0.44,2,2
"Volunteer Reel, The",7,7,7,7,7,7,2,11,11,0.67,7,7
"Reel of Mullinavat (reel), The",4,7,4,2,7,4,4,2,7,0.44,4,4
Down the Gort Road  (reel),7,7,7,7,7,7,7,7,2,0.89,7,7
Ryan's Rant (reel),0,9,0,0,0,0,11,4,0,0.67,0,0
Toss the Feathers (reel) 2,4,11,4,2,2,4,6,11,4,0.44,4,4
"Perfect Cure, The",2,2,2,2,2,2,2,6,2,0.89,2,2
"Glenside Cottage (reel), The",2,9,2,2,2,4,4,2,11,0.56,2,4
Flaherty's (hornpipe),2,2,2,2,2,2,2,2,9,0.89,2,2
Tie the Ribbons (reel),4,7,4,7,7,7,2,2,11,0.44,7,7
"Nightingale , The",4,7,4,2,7,9,9,4,4,0.44,4,9
Fowney's Fancy  (polka),11,2,11,9,2,4,4,2,11,0.33,11,4
Priest of the Boots,2,2,2,2,2,2,2,6,6,0.78,2,2
Carey's Dream (reel),2,2,2,2,2,2,11,9,9,0.67,2,2
"Lads of Laois (reel), The",4,4,4,4,4,4,4,11,4,0.89,4,4
"Rising Sun (a1) (reel), The",2,2,2,2,2,2,4,4,2,0.78,2,2
Why Didn't I Love Mary,7,2,7,7,7,7,11,9,11,0.56,7,7
"Glassan Slide , The",11,11,11,2,11,2,11,11,11,0.78,11,2
"Milltown Lasses (reel), The",9,7,9,7,2,2,5,2,6,0.33,2,2
Sporting Nell (reel),7,2,7,7,2,7,2,9,9,0.44,7,7
"Blackthorn Stick (reel), The",2,2,2,2,2,2,2,2,2,1,2,2
Mullin's Favorite (reel),4,7,4,7,7,7,7,11,11,0.56,7,7
"Thatcher's Mallet (reel), The",7,7,7,7,7,7,7,9,6,0.78,7,7
Ireland Forever,9,9,9,9,9,9,9,9,1,0.89,9,9
Bolton Street (reel),11,9,11,9,2,2,4,11,11,0.44,11,4
Taylor's Fancy (slide),2,2,2,2,2,2,2,9,2,0.89,2,2
Ginley's Fancy (reel),4,4,4,4,4,7,2,4,4,0.78,4,4
Ask My Father,2,2,2,2,2,7,7,9,9,0.56,2,7
Jack and Jill (reel),2,2,2,2,2,4,2,2,4,0.78,2,4
Paddy O'Rafferty 1,2,2,2,2,2,2,2,6,2,0.89,2,2
"Butcher's March [i], The",4,2,4,2,4,7,7,11,4,0.44,4,7
"Bucks of Oranmore (reel), The",2,2,2,2,2,2,9,2,9,0.78,2,2
"Old Grey Gander (reel), The",4,9,4,7,7,9,7,11,9,0.33,9,9
"White Cockade (polka), The",7,7,7,7,7,7,11,11,11,0.67,7,7
"Hills of Kesh (reel), The",4,7,4,7,7,9,9,4,7,0.44,7,9
Stay for Another While (reel),2,2,2,2,2,2,1,6,2,0.78,2,2
O'Connell's Trip to Parliament 2 (reel),2,2,2,2,2,2,2,2,6,0.89,2,2
"Bucks of Dublin, The",7,7,7,7,7,7,7,7,7,1,7,7
Church Hill,4,4,4,4,4,7,9,7,9,0.56,4,9
Humors of Carrigaholt (reel),2,7,2,2,2,2,2,2,2,0.89,2,2
Austin Tierney's  (reel),2,2,2,2,2,2,4,9,9,0.67,2,2
Gregory's Hornpipe,11,2,11,2,2,2,2,2,2,0.78,2,2
"Kaiser (slide), The",2,2,2,2,2,2,2,9,9,0.78,2,2
"Lass of Ballintra 1 (reel), The",4,7,4,7,7,7,7,7,4,0.67,7,7
"Green Fields of Glentown (reel), The",4,9,4,9,4,9,9,4,4,0.56,4,9
Tatter Jack Walsh,7,7,7,7,7,7,9,2,0,0.67,7,2
Miss Thornton's (reel) 2,7,7,7,7,7,7,11,7,7,0.89,7,7
"Ranger (h'pipe), The",2,2,2,2,2,2,2,2,2,1,2,2
Fair Miss McGu?Ÿ?Ÿ????nness (reel),2,9,2,2,2,9,9,,,0.57,2,9
Ballinasloe Fair (reel),9,0,9,0,0,9,0,0,7,0.56,0,9
Grandpa Tommy's Ceili Band 1 (reel),7,7,7,7,7,7,7,11,7,0.89,7,7
Courting Them All (reel),2,2,2,2,2,2,7,2,9,0.78,2,2
Reilly's (reel),4,4,4,4,4,4,4,4,11,0.89,4,4
Tommy Gunn's (reel),4,4,4,4,4,7,4,11,4,0.78,4,4
Curly Mike (reel),0,0,0,0,0,2,2,0,9,0.67,0,2
Joe Kilmurry's Jig,2,9,2,2,2,4,4,9,11,0.44,2,4
Crowley's Reel,2,2,2,2,2,2,2,9,9,0.78,2,2
Celia O'Gara,7,0,7,7,7,7,7,11,0,0.67,7,7
"Leitrim Piper , The",7,7,7,7,7,7,7,2,7,0.89,7,7
"Empire State Reel  #2, The",7,7,7,7,7,7,7,2,2,0.78,7,7
"Gowel Reel, The",4,4,4,2,2,4,4,4,11,0.67,4,4
Kitty in the Lane (reel),9,7,9,7,0,7,2,0,0,0.33,0,2
Fanning's Jig,4,7,4,2,2,7,4,11,7,0.33,4,7
When Sick Is It Tea You Want,2,2,2,2,2,2,2,2,9,0.89,2,2
"Shamrock Jig, The",9,9,9,9,9,9,9,4,1,0.78,9,9
Tom Hill's (hornpipe),2,2,2,2,2,2,2,2,4,0.89,2,2
Bresnahan's Frolics,2,2,2,2,2,4,2,11,11,0.67,2,4
Kiss the Maid Behind the Barrel (reel),7,7,7,7,7,7,7,9,2,0.78,7,7
"White Leaf (reel), The",7,7,7,7,7,7,7,2,4,0.78,7,7
"New Miss McLeod (reel), The",0,0,0,0,0,0,0,0,0,1,0,0
Antrim Rose (reel),2,2,2,2,2,2,9,2,4,0.78,2,2
"Farnaught Jig , The",7,7,7,7,7,7,7,7,7,1,7,7
"Silver Grove (hornpipe)  , The",11,2,11,2,2,2,2,2,2,0.78,2,2
Rakish Paddy (reel),7,7,7,7,7,7,2,2,4,0.67,7,2
Flogging Reel,7,7,7,7,7,7,9,11,11,0.67,7,7
Morrison's (reel),2,2,2,2,2,2,2,2,2,1,2,2
Bashful Bachelor 1 (hornpipe),7,7,7,7,7,7,7,11,2,0.78,7,7
Micho's Tent ( ) (reel),7,7,7,7,7,7,9,9,6,0.67,7,7
After the Hare  (reel),7,7,7,7,7,7,7,11,2,0.78,7,7
Cloone (reel),0,0,0,0,0,0,2,0,7,0.78,0,0
Mamma's Polka,2,2,2,2,2,2,2,9,9,0.78,2,2
"Newport Lass, The",2,2,2,2,2,2,2,2,9,0.89,2,2
Martin Mulhaire's (reel),7,7,7,7,7,7,7,2,4,0.78,7,7
Tumble the Tailor,4,4,4,4,4,7,7,7,7,0.56,4,7
"Kilkenny Jig, The",4,4,4,7,7,7,9,11,9,0.33,4,9
Dan Sweeney's  1 (polka),9,9,9,9,9,9,9,9,9,1,9,9
Mother's Delight (reel),9,7,9,7,2,2,4,4,7,0.33,7,2
"Foghorn Hornpipe , The",2,2,2,2,2,2,2,2,2,1,2,2
High Road to Linton (reel),9,9,9,9,9,9,9,4,6,0.78,9,9
Miss McGuinness'  (reel),7,7,7,7,7,7,4,7,11,0.78,7,7
Brother's Pipes  (reel),2,2,2,2,2,2,1,9,9,0.67,2,2
"Piper's Lord McDonald (reel), The",7,7,7,7,7,7,7,7,11,0.89,7,7
Peacock's Feather 2 (hornpipe),2,2,2,2,2,2,2,4,6,0.78,2,2
I Have a Bonnet (polka),7,7,7,7,7,7,7,2,2,0.78,7,7
Greig's Pipes (reel),7,7,7,7,7,7,7,7,9,0.89,7,7
"Limerick Blacksmith  , The",2,2,2,2,2,2,2,6,2,0.89,2,2
"Humors of Castlefinn (reel), The",4,4,4,2,2,4,9,11,11,0.44,4,4
Big Barney's Jig,7,7,7,7,7,7,7,2,2,0.78,7,7
"Rough Road (reel) , The",7,7,7,7,7,7,7,11,7,0.89,7,7
Jaunting Car for Six,9,9,9,9,9,9,6,4,4,0.67,9,9
Mulloy's Reel,2,2,2,2,2,2,4,6,6,0.67,2,2
"Butcher's March [iii], The",7,2,7,7,7,7,7,2,2,0.67,7,7
Mister Jones' Kerry Reel,4,7,4,7,7,7,7,7,7,0.78,7,7
"Queen of the May (reel), The",11,11,11,2,11,4,4,11,11,0.67,11,4
Paddy O'Brien's Reel,7,2,7,7,2,7,2,2,9,0.44,2,2
"Drunken Gauger (set dance), The",7,7,7,7,7,7,7,7,11,0.89,7,7
O'Callaghan's   (reel),4,7,4,7,7,7,7,11,7,0.67,7,7
"Crooked Reel, The",4,2,4,7,7,9,9,11,11,0.22,9,9
"Frieze Breeches, The",2,2,2,2,2,2,2,9,9,0.78,2,2
"Long Hills of Mourne (reel), The",2,7,2,2,2,7,0,2,0,0.56,2,2
"Ranting Widow  (reel), The",11,4,11,9,11,4,4,11,2,0.44,11,4
"Irish Girl (reel), The",2,2,2,2,2,2,9,2,6,0.78,2,2
Up & Down the Stairs,2,2,2,2,2,2,9,4,6,0.67,2,2
"Portrush Jig, The",9,9,9,9,9,9,9,9,9,1,9,9
"Game of Love (reel), The",4,4,4,4,4,4,2,4,7,0.78,4,4
Jack Maguire's Reel,2,7,2,2,2,2,6,6,2,0.67,2,2
Over the Moor to Peggy (reel),7,7,7,7,7,7,2,2,2,0.67,7,7
"Piper's Favorite (reel), The",7,7,7,7,7,7,7,11,11,0.78,7,7
"Pirate Ship  (reel), The",7,7,7,7,7,7,7,7,11,0.89,7,7
Last Night's Fun,9,9,9,9,9,2,6,11,11,0.56,9,4
Paddy Murphy's Wife (reel),2,7,2,7,2,7,2,2,6,0.56,2,2
Anything for John Joe  (reel),2,2,2,2,2,2,2,9,6,0.78,2,2
John Brennan from Sligo (reel),2,2,2,2,2,2,2,9,9,0.78,2,2
Bonnie Kate (original version) (reel),2,2,2,2,2,2,2,2,6,0.89,2,2
Mama's Pet (reel),9,9,9,2,7,9,11,9,11,0.56,9,9
"Monk's Jig, The",9,9,9,9,9,9,9,9,4,0.89,9,9
"Maid of [at] the Spinning Wheel, The",7,7,7,7,7,7,7,9,9,0.78,7,7
Belles of St. Louis (reel),7,7,7,7,7,7,7,7,11,0.89,7,7
Memories of Kesh (reel),11,2,11,2,2,2,2,2,2,0.78,2,2
"Horseshoe, The",4,7,4,0,7,4,7,7,7,0.56,7,7
"Shoemaker's Fancy , The",2,7,2,7,2,7,7,9,0,0.44,7,2
Flowers of Doocastle  (reel),7,7,7,7,7,7,4,7,11,0.78,7,7
"Kilbaha Reel, The",2,2,2,2,2,2,2,2,6,0.89,2,2
"Dancing Master's  Reel  (polka), The",7,7,7,7,7,7,2,9,7,0.78,7,7
Biddy Martin (polka),2,9,2,2,2,2,2,4,6,0.67,2,2
My Love in the Morning,4,2,4,2,7,9,9,9,9,0.44,9,9
Coppers and Brass,7,7,7,7,7,7,7,7,9,0.89,7,7
"Contradiction (reel), The",2,2,2,2,2,7,9,4,4,0.56,2,7
Knocknaboul Polka (2),7,7,7,7,7,7,7,11,7,0.89,7,7
Stoney Batter,2,2,2,2,2,2,2,6,9,0.78,2,2
Hag at the Kiln (slide),2,2,2,2,2,7,2,9,9,0.67,2,2
Basket of Eggs 1,7,7,7,7,7,7,7,7,9,0.89,7,7
Brandy With Breakfast  (reel),2,2,2,7,2,2,2,2,6,0.78,2,2
"King of the Pipes, The",2,2,2,2,2,11,11,9,9,0.56,2,2
"Ranting Widow (reel), The",11,4,11,9,11,4,4,4,2,0.44,4,4
"Humors of Drinagh, The",2,2,2,2,2,2,2,7,7,0.78,2,2
"Hazel Stick, The",4,7,4,0,7,7,7,7,11,0.56,7,7
"Merry Boys of Fore (reel), The",9,7,9,7,2,7,2,2,0,0.33,2,2
"Bat in the Belfry , The",2,2,2,2,2,2,2,2,4,0.89,2,2
Sean McGovern's  (polka),2,2,2,2,2,2,2,9,2,0.89,2,2
"Concertina Reel, The",2,2,2,2,2,2,2,9,11,0.78,2,2
Carmel Mahoney Mulhaire (reel),2,7,2,2,2,2,0,4,4,0.56,2,2
"Boy in the Tree (reel), The",7,2,7,7,7,9,9,11,4,0.44,7,9
"Broken Lantern, The",2,2,2,2,2,2,2,2,6,0.89,2,2
Miss Gunning's Delight  (reel),7,7,7,7,7,7,7,11,7,0.89,7,7
Lord Gordon (reel),2,2,2,2,2,2,11,2,2,0.89,2,2
"Green Groves of Erin (reel), The",4,2,4,2,7,9,11,9,4,0.33,4,9
Killoran's 1 (polka),4,7,4,7,7,7,7,7,11,0.67,7,7
"Irishman's Blackthorn (reel), The",4,7,4,7,7,9,9,11,2,0.33,7,9
Bogan's (reel),2,2,2,2,2,2,2,6,9,0.78,2,2
Kane's (reel),2,2,2,2,2,2,2,2,2,1,2,2
"Ashplant (reel), The",4,4,4,4,4,4,9,11,11,0.67,4,4
"Pride of Rathmore  (reel), The",4,7,4,2,2,4,4,4,11,0.56,4,4
Full Sails to Greenland  (reel),7,7,7,7,7,7,7,11,11,0.78,7,7
