,index,as transcribed,freq note,freq acc,freq weighted note,freq weighted acc
406,HareintheHeatherreelThe,4,11,11,11,11
407,JohnJoeGannonshornpipe,7,7,7,7,7
408,TullaReelreelThe,4,11,2,11,2
409,PaddyfromClarereel,2,2,2,2,2
410,DukesRetreathornpipeThe,4,9,7,7,4
411,HurlersMarchThe,7,2,2,2,2
412,MurphyfromWexford,2,9,2,9,2
413,LordWellingtonreel,7,7,7,7,7
414,OCallaghansreel,7,11,7,11,7
415,JacksonsRambles,2,2,2,9,2
416,RowsomesKerryJig,7,7,9,9,9
417,MissRamsayreel,2,2,9,2,9
418,ScotchHuntreelThe,9,4,0,4,0
419,MartinAnsborosreel,4,4,11,4,11
420,LastNightsFun1reel,2,2,2,2,2
421,SkyOverFenitreelThe,2,9,11,9,9
422,KillaloeBoatThe,9,11,4,11,4
423,YourMothersFairPetreel,2,9,9,9,4
424,OFlynnsFancyreel,7,11,2,11,2
425,FarewelltoLeitrimreel,2,2,6,2,6
426,PaddyByrnesQuickStep,7,7,7,7,7
427,PerfectCureThe,2,2,2,2,2
428,DayIMetTomMoylanreelThe,2,4,4,4,4
429,GirlsoftheCountyMayoreelThe,7,11,4,11,4
430,JackMaguiresReel,2,6,6,2,2
431,PubattheCrossroadshornpipeThe,9,11,9,11,9
432,MyLoveisinAmericareel,2,2,9,2,9
433,TomConnorsJig,2,9,9,9,9
434,LadiesStepUptoTea,9,9,9,9,9
435,OSheastheManreel,7,11,7,11,7
436,TakeHerOutandAirHerreel,2,2,2,2,6
437,MovinginDecencyreel,4,4,11,4,11
438,ManfromDungannonreelThe,7,9,6,9,11
439,RollingintheRyegrass2reel,2,9,9,9,9
440,RisingSuna1reelThe,2,9,2,9,2
441,KilbahaReelThe,2,2,6,6,6
442,KerrymansCloghornpipeThe,7,2,2,2,7
443,SlideJohnBThe,2,6,2,2,2
444,LovelyAnnereel,9,9,0,9,0
445,MrsGalvinsFancyhpipe,2,2,2,4,2
446,PrimroseGirlreelThe,7,11,11,11,11
447,SoldiersJoyThe,7,7,11,7,11
448,GeorgeRawleyshpipe,9,4,0,4,0
449,OldConcertinareelThe,2,11,11,11,11
450,JacktheDeckhandreel,7,2,4,4,4
451,MaryEllenshornpipe,4,7,7,7,7
452,SchottischePolkaThe,7,2,11,2,11
453,DooaghPolkaThe,7,2,0,2,0
454,ReelofMullinavatreelThe,4,2,7,4,7
455,RakishPaddyreel,7,2,4,2,0
456,JacksonsReel,7,11,7,2,7
457,GatehouseMaidreelThe,9,11,4,11,7
458,Killorans1polka,7,7,11,7,11
459,MissButlersreel,7,7,11,7,11
460,JackieFitzpatricksreel,7,9,4,9,4
461,DisputeattheCrossroadreel,4,11,4,11,4
462,UpDowntheStairs,2,4,6,4,6
463,TynaghJigThe,7,2,2,2,2
464,AnotherRoundofPunch,7,7,7,7,7
465,NewMissMcLeodreelThe,0,0,0,0,0
466,NonieStackingTurfpolka,9,9,0,9,0
467,CordalJigThe,2,2,11,9,11
468,AtlanticWavereelThe,7,7,2,7,2
469,NewportLassThe,2,2,9,2,9
470,HawthornJigThe,4,7,2,2,2
471,JohnnyLovesMolly,2,2,1,2,1
472,GerryCroninsreel,0,0,2,0,0
473,DustyMillerThe,2,9,9,9,9
474,UnionReel,9,9,4,1,2
475,GillansApples,2,1,1,4,1
476,RollickingSkipperThe,7,4,4,4,4
477,CrehansFiddle,2,2,2,2,2
478,KillavalFancyreelThe,2,2,11,2,2
479,MaryMcMahonreel,2,2,6,2,6
480,CaptainfromCavanpolkaThe,2,2,6,2,6
481,HumorsofMultyfarnhamThe,2,6,9,6,9
482,BucksofOranmorereelThe,2,2,9,2,9
483,EmpireStateReel2The,7,2,2,2,2
484,NoonLassesreelThe,7,7,7,11,7
485,MissMcGuinnessreel,7,7,4,2,11
486,DenisEnrightsSlide,2,9,9,4,9
487,BarmaidreelThe,0,0,4,0,7
488,WalshsHornpipe,9,4,9,1,9
489,GrandpaTommysCeiliBand2reel,7,11,7,11,7
490,TopoftheMorningreel,7,7,11,7,11
491,Mulqueenshornpipe,7,2,2,2,7
492,PrideofAhamorereelThe,7,2,6,2,6
493,TatterJackWalsh,7,2,0,2,9
494,MaidIntheCherryTreereelThe,9,9,0,9,0
495,BallykealJig,7,7,9,7,9
496,DrummondLassesreelThe,7,7,2,7,7
497,YoullComeHomewithMe,7,9,7,9,9
498,OneofTommyshornpipe,7,9,7,9,11
499,CoachRoadtoSligoThe,7,2,4,2,4
500,LongfordCollectorreelThe,7,11,7,11,7
501,PrettyWelshMaidreelThe,7,7,11,11,11
502,BoysontheHilltopreel,9,11,11,9,7
503,JimmyWardsJig,7,7,7,7,7
504,HumorsofEderneyreelThe,9,1,9,1,9
505,CavanReelThe,2,9,9,9,6
506,JohnDohertysReel1,2,6,6,6,6
507,HighRoadtoLintonreel,9,4,6,4,6
508,JohnnysGonetoFrancereel,4,2,11,2,11
509,WexfordReelThe,2,6,6,6,6
510,KillarneyBoysofPleasurereel,7,6,11,6,11
511,MillersDaughter1reelThe,9,1,9,1,9
512,PaddyORafferty2,7,9,7,9,7
513,OConnellsTriptoParliament2reel,2,9,9,9,6
514,ElmGroveThe,7,11,2,11,2
515,BlacksmithReillysReelThe,2,6,2,6,2
516,LightingtheLampsreel,2,2,2,1,2
517,GullaneJigThe,2,2,9,9,9
518,GlenCottage2polka,9,4,4,4,4
